Step (steps),Load (N)
766.6325725,1.174052582605173,initial approach
772.4005500000001,1.3417743801201911,initial approach
778.5043225000001,1.3417743801201911,initial approach
785.9136350000001,1.3417743801201911,initial approach
792.1205250000002,1.3417743801201911,initial approach
803.8947525000003,1.3417743801201911,initial approach
811.5372600000003,1.3417743801201911,initial approach
817.4566625000002,1.3417743801201911,initial approach
823.8299525000002,1.5094961776352185,initial approach
830.0839775000002,1.5094961776352185,initial approach
838.3496325000003,1.5094961776352185,initial approach
844.7122475000002,1.3417743801201911,initial approach
850.8528650000003,1.5094961776352185,initial approach
859.8835925000001,1.5094961776352185,initial approach
865.9946550000003,1.3417743801201911,initial approach
874.3005425000001,1.174052582605173,initial approach
880.9024675000003,1.0063307850901455,initial approach
889.0193025000004,1.174052582605173,initial approach
895.0426075000003,1.174052582605173,initial approach
901.0868775000004,1.3417743801201911,initial approach
907.1545800000002,1.3417743801201911,initial approach
912.9558900000003,1.174052582605173,initial approach
919.0367450000003,1.174052582605173,initial approach
924.7085050000003,1.174052582605173,initial approach
930.3277900000003,1.3417743801201911,initial approach
936.3746625000002,1.174052582605173,initial approach
942.3182850000002,1.174052582605173,initial approach
948.1664675000001,1.3417743801201911,initial approach
954.2787025000002,1.3417743801201911,initial approach
960.6096750000003,1.174052582605173,initial approach
966.5798600000003,1.174052582605173,initial approach
972.7568025000004,1.3417743801201911,initial approach
978.4707475000002,1.3417743801201911,initial approach
984.5797275000002,1.3417743801201911,initial approach
990.4703550000003,1.3417743801201911,initial approach
996.4680100000003,1.3417743801201911,initial approach
1003.7562350000004,1.174052582605173,initial approach
1009.8880000000003,1.0063307850901455,initial approach
1015.8868275000001,1.174052582605173,initial approach
1021.8579225000003,1.0063307850901455,initial approach
1028.0714525000003,1.174052582605173,initial approach
1034.1780875000004,1.0063307850901455,initial approach
1052.0394200000005,1.0063307850901455,initial approach
1060.4598875000006,1.0063307850901455,initial approach
1067.9822150000007,1.0063307850901455,initial approach
1075.1058650000007,1.0063307850901455,initial approach
1080.9557400000008,1.0063307850901455,initial approach
1086.8552225000008,0.8386089875751276,initial approach
1094.2194850000008,0.8386089875751276,initial approach
1100.3783325000009,1.0063307850901455,initial approach
1108.494645000001,1.174052582605173,initial approach
1116.656660000001,1.174052582605173,initial approach
1122.836337500001,1.0063307850901455,initial approach
1128.487135000001,1.0063307850901455,initial approach
1134.137670000001,0.8386089875751276,initial approach
1140.163187500001,1.0063307850901455,initial approach
1146.279980000001,1.0063307850901455,initial approach
1153.577187500001,1.0063307850901455,initial approach
1164.191830000001,0.8386089875751276,initial approach
1180.3139150000009,1.0063307850901455,initial approach
